segment_id,date,weekday,hour,LOS,flow_proxy,max_velocity,length,calc_length,street_level,street_type,long_snode,lat_snode,long_enode,lat_enode,LOS_encoded,street_type_encoded,street_name_freq
6690,8/2/2020,6,23.5,E,0.031081081,0.285714286,0.047034765,0.046974807,4,tertiary,106.6565533,10.7706174,106.6563444,10.7706491,4,20,178
79235,8/2/2020,6,23.5,D,0.010810811,0.714285714,0.00408998,0.004068046,2,primary,106.6678124,10.7681782,106.6677962,10.7681682,3,14,41
29345,8/2/2020,6,23.5,E,0.010810811,0.714285714,0.008179959,0.008022166,2,primary,106.6538721,10.7536633,106.6538722,10.7536995,4,14,98
6695,8/2/2020,6,23.5,C,0.101351351,0.285714286,0.051124744,0.051879165,4,tertiary,106.656945,10.7705578,106.6571756,10.7705227,2,20,178
6694,8/2/2020,6,23.5,E,0.028378378,0.285714286,0.042944785,0.044019427,4,tertiary,106.656945,10.7705578,106.6567492,10.7705876,4,20,178
79234,8/2/2020,6,23.5,D,0.016216216,0.714285714,0.006134969,0.006707263,2,primary,106.6678386,10.7681944,106.6678124,10.7681782,3,14,41
29344,8/2/2020,6,23.5,F,0.005405405,0.714285714,0.008179959,0.0080311,2,primary,106.6538599,10.7536291,106.6538721,10.7536633,5,14,32
63087,8/2/2020,6,23.5,A,0.040540541,0.285714286,0.012269939,0.012751612,4,tertiary,106.6710798,10.7696215,106.6710665,10.769677,0,20,179
6693,8/2/2020,6,23.5,D,0.056756757,0.285714286,0.042944785,0.044019427,4,tertiary,106.6567492,10.7705876,106.656945,10.7705578,3,20,178
29343,8/2/2020,6,23.5,C,0.024324324,0.714285714,0.006134969,0.006953481,2,primary,106.6538404,10.7536041,106.6538599,10.7536291,2,14,32
63088,8/2/2020,6,23.5,F,0.004054054,0.285714286,0.012269939,0.012751612,4,tertiary,106.6710665,10.769677,106.6710798,10.7696215,5,20,179
63089,8/2/2020,6,23.5,C,0.040540541,0.285714286,0.020449898,0.021009777,4,tertiary,106.6715214,10.7677708,106.6714997,10.7678617,2,20,12
29342,8/2/2020,6,23.5,C,0.024324324,0.714285714,0.006134969,0.006981315,2,primary,106.6538143,10.7535856,106.6538404,10.7536041,2,14,36
29341,8/2/2020,6,23.5,E,0.008108108,0.714285714,0.006134969,0.006946826,2,primary,106.653784,10.7535754,106.6538143,10.7535856,4,14,36
6691,8/2/2020,6,23.5,E,0.028378378,0.285714286,0.042944785,0.044041479,4,tertiary,106.6565533,10.7706174,106.6567492,10.7705876,4,20,178
6692,8/2/2020,6,23.5,E,0.028378378,0.285714286,0.042944785,0.044041479,4,tertiary,106.6567492,10.7705876,106.6565533,10.7706174,4,20,178
6673,8/2/2020,6,23.5,C,0.056756757,0.285714286,0.028629857,0.028909344,4,tertiary,106.6543576,10.7709513,106.6544865,10.7709317,2,20,178
6670,8/2/2020,6,23.5,E,0.037837838,0.285714286,0.057259714,0.057048097,4,tertiary,106.6540639,10.770996,106.6538104,10.7710345,4,20,178
58845,8/2/2020,6,23.5,C,0.186486486,0.285714286,0.09406953,0.095465077,4,tertiary,106.652277,10.7565435,106.6518545,10.7564726,2,20,255
63113,8/2/2020,6,23.5,E,0.035135135,0.714285714,0.026584867,0.028039847,2,primary,106.6710104,10.7677944,106.6711368,10.7677886,4,14,258
63114,8/2/2020,6,23.5,E,0.045945946,0.714285714,0.034764826,0.034944822,2,primary,106.6711368,10.7677886,106.6712941,10.7677813,4,14,258
29274,8/2/2020,6,23.5,E,0.006756757,0.571428571,0.006134969,0.007568592,3,secondary,106.6592038,10.750597,106.6592357,10.7506107,4,18,2
79221,8/2/2020,6,23.5,C,0.114864865,0.571428571,0.034764826,0.036256579,3,secondary,106.6670229,10.767749,106.6670725,10.7675961,2,18,278
63115,8/2/2020,6,23.5,C,0.194594595,0.714285714,0.049079755,0.050585048,2,primary,106.6712941,10.7677813,106.6715214,10.7677708,2,14,258
29273,8/2/2020,6,23.5,C,0.02027027,0.571428571,0.006134969,0.007578124,3,secondary,106.6591695,10.7505909,106.6592038,10.750597,2,18,75
29275,8/2/2020,6,23.5,C,0.033783784,0.571428571,0.010224949,0.010304103,3,secondary,106.6592357,10.7506107,106.6592722,10.7506399,2,18,49
63116,8/2/2020,6,23.5,E,0.191891892,0.714285714,0.145194274,0.146122939,2,primary,106.6715214,10.7677708,106.6721763,10.7677409,4,14,258
29272,8/2/2020,6,23.5,E,0.009009009,0.571428571,0.008179959,0.008700935,3,secondary,106.6591297,10.7505935,106.6591695,10.7505909,4,18,2
29271,8/2/2020,6,23.5,B,0.036036036,0.571428571,0.008179959,0.008722013,3,secondary,106.6590919,10.7506063,106.6591297,10.7505935,1,18,75
63118,8/2/2020,6,23.5,E,0.045945946,0.714285714,0.034764826,0.035769734,2,primary,106.6723696,10.7677321,106.6725306,10.7677248,4,14,258
63119,8/2/2020,6,23.5,E,0.210810811,0.714285714,0.159509202,0.159260882,2,primary,106.6725306,10.7677248,106.6732443,10.7676922,4,14,258
29270,8/2/2020,6,23.5,F,0.004504505,0.571428571,0.008179959,0.008699267,3,secondary,106.6590589,10.7506283,106.6590919,10.7506063,5,18,75
63120,8/2/2020,6,23.5,E,0.267567568,0.714285714,0.202453988,0.203105815,2,primary,106.6732443,10.7676922,106.6741538,10.7676423,4,14,258
63117,8/2/2020,6,23.5,A,0.283783784,0.714285714,0.042944785,0.042986828,2,primary,106.6721763,10.7677409,106.6723696,10.7677321,0,14,258
